system:index,institution_type,name,no2,.geo
00000000000000000000_0,Fortune 500 HQ,363. Voya,1.1137873414493033E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9807552236632,40.71614025271731]}"
00000000000000000001_0,Fortune 500 HQ,64. Adobe,4.5630690016335E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.89689247859847,37.32050847874552]}"
00000000000000000002_0,Fortune 500 HQ,"53. Walt Disney, Burbank, CA, USA",9.340272189375145E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.31261449496158,34.17640498432719]}"
00000000000000000003_0,Fortune 500 HQ,360. Glenworth Financial,2.7033178018008226E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.43926906752336,37.572036758298985]}"
00000000000000000004_0,Fortune 500 HQ,"374. Expeditors, 3rd Avenue, Seattle, WA, USA",5.915514217561968E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.33706696781704,47.63316794043763]}"
00000000000000000005_0,Fortune 500 HQ,"373. Dana Incorporated, Longbow Drive, Maumee, OH, USA",4.2323931448874595E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.66459398647163,41.59648923115444]}"
00000000000000000006_0,Fortune 500 HQ,"372. Jefferies Financial Group, Madison Avenue, New York, NY, USA",1.0035571628393234E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9807552236632,40.77902232260568]}"
00000000000000000007_0,Fortune 500 HQ,"370. Wesco International Inc, West Station Square Drive, Pittsburgh, PA, USA",3.774325011085493E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.01743393294637,40.46461197316385]}"
00000000000000000008_0,Fortune 500 HQ,"371. Huntington Ingalls Industries, Washington Avenue, Newport News, VA, USA",2.8134291832782917E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.43315594930948,37.00609812930369]}"
00000000000000000009_0,Fortune 500 HQ,369. Amphenol,5.432739385074581E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.8488779656726,41.47072509137771]}"
0000000000000000000a_0,Fortune 500 HQ,"379. United Rentals,Stamford, CT, USA",5.045111752950983E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.54058073444463,41.030550602159146]}"
0000000000000000000b_0,Fortune 500 HQ,"378. Assurant, New York, NY, USA",1.1137873414493033E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9807552236632,40.71614025271731]}"
0000000000000000000c_0,Fortune 500 HQ,368. Alaska Air Group,5.915514217561968E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.33706696781704,47.63316794043763]}"
0000000000000000000d_0,Fortune 500 HQ,"377. SpartanNash Company,  Byron Center, MI, USA",3.76775407045923E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.67682022289937,42.85413062892177]}"
0000000000000000000e_0,Fortune 500 HQ,"376. Darden Restaurants, Darden Center Drive, Orlando, FL, USA",3.605115527464724E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.40083947049044,28.391254554597477]}"
0000000000000000000f_0,Fortune 500 HQ,367. THOR INDUSTRIES,4.3503687894674694E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.9912305723412,41.65937130104281]}"
00000000000000000010_0,Fortune 500 HQ,"375. EMCOR Norwalk, Connecticut, USA",4.4467912425428384E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.4148165946679,41.15631474193588]}"
00000000000000000011_0,Fortune 500 HQ,366. Masco Corp,5.224996439566948E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.3501836370298,42.35107406981484]}"
00000000000000000012_0,Fortune 500 HQ,"365. Caesars Entertainment, Caesars Palace Drive, Las Vegas, NV, USA",5.827448871041007E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-115.16851100054325,36.125749150866554]}"
00000000000000000013_0,Fortune 500 HQ,"399. JetBlue Airways Corporation, Queens Plaza North, Long Island City, NY, USA",8.747815628807685E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.91787315377482,40.77902232260568]}"
00000000000000000014_0,Fortune 500 HQ,"398. WEC Energy Group, West Michigan Street, Milwaukee, WI, USA",4.370542177808618E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.94057473888056,43.042776838586875]}"
00000000000000000015_0,Fortune 500 HQ,"397. W. R. Berkley Corporation, Steamboat Road, Greenwich, CT, USA",4.899376437683996E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.60346280433299,41.030550602159146]}"
00000000000000000016_0,Fortune 500 HQ,"396. EnLink Midstream, Routh Street, Dallas, TX, USA",5.0348112262864E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-96.80694659314024,32.792999446783135]}"
00000000000000000017_0,Fortune 500 HQ,"391. Anixter Glenview, Patriot Boulevard, Glenview, IL, USA",5.898166618091944E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.81481059910382,42.099545790261374]}"
00000000000000000018_0,Fortune 500 HQ,"395 Osh Kosh, Oshkosh, WI, USA",3.4314463358857994E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-88.56939543776421,44.048889956800735]}"
00000000000000000019_0,Fortune 500 HQ,"394. Builders FirstSource, Bryan Street, Dallas, TX, USA",5.0348112262864E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-96.80694659314024,32.792999446783135]}"
0000000000000000001a_0,Fortune 500 HQ,363. Ryder System,4.1248501277005455E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.20608014261147,25.750207619286083]}"
0000000000000000001b_0,Fortune 500 HQ,"393. Dean Foods Company, North Haskell Avenue, Dallas, TX, USA",5.0348112262864E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-96.80694659314024,32.792999446783135]}"
0000000000000000001c_0,Fortune 500 HQ,"392. PPL, Allentown, PA, USA",2.862830736844547E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.55280697087235,40.590376112940575]}"
0000000000000000001d_0,Fortune 500 HQ,362. Yum China Holdings,3.684942580208026E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-96.6811824533635,33.0445277263366]}"
0000000000000000001e_0,Fortune 500 HQ,"391. Hershey, PA, USA",3.0240662488237413E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.62180215897459,40.275965763498746]}"
0000000000000000001f_0,Fortune 500 HQ,"390. Alliance Data Systems, Plano, TX, USA",3.684942580208026E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-96.6811824533635,33.0445277263366]}"
00000000000000000020_0,Fortune 500 HQ,"389. Berry Global, Oakley Street, Evansville, IN, USA",3.351035140435146E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.56328231955035,37.94932917762919]}"
00000000000000000021_0,Fortune 500 HQ,361. Fidelity National Information Services,4.881456158626854E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.65236775004391,30.34059872113684]}"
00000000000000000022_0,Fortune 500 HQ,"388. Tractor Supply Company  Brentwood, TN, USA",3.2817936218050236E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-86.80869748088996,36.06286708097819]}"
00000000000000000023_0,Fortune 500 HQ,"387. Zimmer Biomet Warsaw, IN, USA",4.2352306679879656E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.86546643256446,41.21919681182424]}"
00000000000000000024_0,Fortune 500 HQ,"386. Conagra Brands, Chicago, IL, USA",7.601491201048877E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.62616438943873,41.84801751070791]}"
00000000000000000025_0,Fortune 500 HQ,"385. Foot Locker, Broadway, New York, NY, USA",1.0035571628393234E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9807552236632,40.77902232260568]}"
00000000000000000026_0,Fortune 500 HQ,359. Dick’s Sporting Goods,3.52475929308184E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.14319807272311,40.527494043052215]}"
00000000000000000027_0,Fortune 500 HQ,"384. Fifth Third Bank, OH, USA",3.961406513440664E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.41917882513204,39.14408850550815]}"
00000000000000000028_0,Fortune 500 HQ,"358. Eversource, Station Drive, Westwood, MA, USA",3.71686401709126E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.1510620786867,42.22530993003811]}"
00000000000000000029_0,Fortune 500 HQ,"383. Cheniere Energy Inc, Milam Street, Houston, TX, USA",4.62703000555975E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.3606589857078,29.77466009214154]}"
0000000000000000002a_0,Fortune 500 HQ,"357. National Oilwell Varco, Cypress Creek Road, Cedar Park, TX, USA",2.156946089980095E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.8130597113541,30.46636286091357]}"
0000000000000000002b_0,Fortune 500 HQ,"382. Auto-Owners Insurance, Anacapri Drive, Lansing, MI, USA",3.026781851163888E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.60782503479713,42.72836648914504]}"
0000000000000000002c_0,Fortune 500 HQ,"381. Erie Insurance Arena, French Street, Erie, PA, USA",2.864244100621681E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.08031600283475,42.099545790261374]}"
0000000000000000002d_0,Fortune 500 HQ,356. Jones Financial (Edward Jones),4.514257804527948E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.45585753441522,38.57814987651285]}"
0000000000000000002e_0,Fortune 500 HQ,"380. Liberty Media Corporation, Liberty Boulevard, Englewood, CO, USA",2.9379583494468344E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-104.85585153885114,39.584262994726714]}"
0000000000000000002f_0,Fortune 500 HQ,355. Frontier Communications,5.037657098739503E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.4148165946679,41.09343267204751]}"
00000000000000000030_0,Fortune 500 HQ,"500. Levi's Store, San Francisco, CA, USA",3.726038482694589E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.3999490377054,37.76068296796409]}"
00000000000000000031_0,Fortune 500 HQ,"354. J.B. Hunt Transport Services, Inc., J B Hunt Corporate Drive, Lowell, AR, USA",2.4487232034772494E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-94.16589965782885,36.25151329064329]}"
00000000000000000032_0,Fortune 500 HQ,"499. Peabody Energy, St. Louis, MO, USA",5.4413799194717365E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.20432925486175,38.64103194640121]}"
00000000000000000033_0,Fortune 500 HQ,"498. Western Union,Denver, CO, USA",4.5773607170125637E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-104.98161567862788,39.71002713450345]}"
00000000000000000034_0,Fortune 500 HQ,353. UNIVAR,8.827746039121096E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-88.00345680876892,41.785135440819545]}"
00000000000000000035_0,Fortune 500 HQ,352. WESTLAKE CHEMICAL,4.62703000555975E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.3606589857078,29.77466009214154]}"
00000000000000000036_0,Fortune 500 HQ,351. Thrivent Financial for Lutherans,4.766322957067659E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.2855506793917,44.992121005126236]}"
00000000000000000037_0,Fortune 500 HQ,350. Rockwell Collins,2.8463231266299946E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.08031600283475,26.69343866761158]}"
00000000000000000038_0,Fortune 500 HQ,"349. Campbell Soup Company, Campbell Place, Camden, NJ, USA",4.789305248133616E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.11263248165379,39.96155541405691]}"
00000000000000000039_0,Fortune 500 HQ,348. WILLIAMS,4.087592789391936E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.98947968459147,36.125749150866554]}"
0000000000000000003a_0,Fortune 500 HQ,"347. Veritiv Corporation, Governors Lake Parkway, Norcross, GA, USA",3.5955921491711194E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.23053261546693,33.92487670477373]}"
0000000000000000003b_0,Fortune 500 HQ,346. GameStop,5.4835220214804046E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.0584748726937,32.91876358655986]}"
0000000000000000003c_0,Fortune 500 HQ,"497. Navient, Wilmington, DE, USA",4.745488450832957E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.55280697087235,39.71002713450345]}"
0000000000000000003d_0,Fortune 500 HQ,"496. Simon Property Group, East Washington Street, Indianapolis, IN, USA",4.919916464778855E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-86.17987678200629,39.772909204391816]}"
0000000000000000003e_0,Fortune 500 HQ,"495. Williams-Sonoma, Post Street, San Francisco, CA, USA",3.726038482694589E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.3999490377054,37.76068296796409]}"
0000000000000000003f_0,Fortune 500 HQ,"494. Yum Brands, Louisville, KY, USA",4.496994406105207E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.73970229278773,38.26373952707102]}"
00000000000000000040_0,Fortune 500 HQ,"493. Windstream Holdings Little Rock, AR, USA",2.6995355878396784E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.27943756117784,34.7423436133225]}"
00000000000000000041_0,Fortune 500 HQ,345. Hilton Worldwide Holdings,4.0154185224026575E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.18774078796989,38.95544229584305]}"
00000000000000000042_0,Fortune 500 HQ,"492. Harley-Davidson Museum, West Canal Street, Milwaukee, WI, USA",4.370542177808618E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.94057473888056,43.042776838586875]}"
00000000000000000043_0,Fortune 500 HQ,"491. First American Financial, Santa Ana, CA, USA",3.7881847657575816E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.87244000574302,33.67334842522026]}"
00000000000000000044_0,Fortune 500 HQ,344. Air Products & Chemicals,2.859381521694772E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.489924900984,40.590376112940575]}"
00000000000000000045_0,Fortune 500 HQ,"489. TreeHouse Foods, Inc., Spring Road, Oak Brook, IL, USA",9.048128670142542E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.94057473888056,41.84801751070791]}"
00000000000000000046_0,Fortune 500 HQ,"488. Fiserv, Inc., Fiserv Drive, Brookfield, WI, USA",4.691392164420213E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-88.12922094854565,43.042776838586875]}"
00000000000000000047_0,Fortune 500 HQ,"487. Zoetis Inc., Sylvan Way, Parsippany, New Jersey, USA",3.62539338911917E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.42092971288176,40.841904392494044]}"
00000000000000000048_0,Fortune 500 HQ,342. Brighthouse Financial,4.557654940388463E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.83490084149514,35.24540017242943]}"
00000000000000000049_0,Fortune 500 HQ,"486. Ingredion, Westchester, IL, USA",9.418021090129814E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.8776926689922,41.84801751070791]}"
0000000000000000004a_0,Fortune 500 HQ,"485. ON Semiconductor, Phoenix, AZ, USA",7.255152710893024E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-111.96152543623656,33.48470221555516]}"
0000000000000000004b_0,Fortune 500 HQ,NA,1.1137873414493033E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9807552236632,40.71614025271731]}"
0000000000000000004c_0,Fortune 500 HQ,"484. Tapestry, New York, NY, USA",1.1137873414493033E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9807552236632,40.71614025271731]}"
0000000000000000004d_0,Fortune 500 HQ,340. Peter Kiewit Sons’,5.6017896557348994E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.9265976147031,41.28207888171261]}"
0000000000000000004e_0,Fortune 500 HQ,"483. NetApp, Sunnyvale, CA, USA",3.5305117584616104E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.0226566183752,37.44627261852225]}"
0000000000000000004f_0,Fortune 500 HQ,"482. Intuit, Mountain View, CA, USA",3.600428346115342E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.08553868826357,37.44627261852225]}"
00000000000000000050_0,Fortune 500 HQ,"481. Old Republic International Corporation, Michigan Avenue, Chicago, IL, USA",6.90932632450495E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.62616438943873,41.91089958059627]}"
00000000000000000051_0,Fortune 500 HQ,"480. Graphic Packaging International, Atlanta, GA, USA",2.6829881793878736E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.96677809948574,33.35893807577843]}"
00000000000000000052_0,Fortune 500 HQ,"338. AVIS, Parsippany, NJ, USA",3.62539338911917E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.42092971288176,40.841904392494044]}"
00000000000000000053_0,Fortune 500 HQ,"337. Vistra/TXU Energy Corporate Office, Sierra Drive, Irving, TX, USA",5.243418964653262E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-96.99559280280533,32.91876358655986]}"
00000000000000000054_0,Fortune 500 HQ,"479. Hd Supply Holdings Inc,  Atlanta, GA, USA",2.9862383359032913E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.4820608950204,33.86199463488536]}"
00000000000000000055_0,Fortune 500 HQ,"478. Realogy Holdings Corp., Park Avenue, Madison, NJ, USA",5.5045681454576455E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.42092971288176,40.77902232260568]}"
00000000000000000056_0,Fortune 500 HQ,"477. Clorox Co, Broadway, Oakland, CA, USA",4.6307063968140927E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.27418489792866,37.823565037852454]}"
00000000000000000057_0,Fortune 500 HQ,"476. Polaris Industries Inc, Highway 55, Medina, MN, USA",3.225112318137297E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.59996102883355,45.055003075014604]}"
00000000000000000058_0,Fortune 500 HQ,"475. Booz Allen Hamilton Inc, , McLean, VA, USA",3.825812524956197E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.25062285785825,38.89256022595468]}"
00000000000000000059_0,Fortune 500 HQ,"474. L3Harris Technologies: Communication Systems-West, 2200 West, Salt Lake City, UT, USA",4.0977493704566606E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-111.96152543623656,40.77902232260568]}"
0000000000000000005a_0,Fortune 500 HQ,"473. Ralph Lauren New York, NY, USA",1.0035571628393234E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9807552236632,40.77902232260568]}"
0000000000000000005b_0,Fortune 500 HQ,"472. Analog Devices, Technology Way, Norwood, MA, USA",3.71686401709126E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.1510620786867,42.22530993003811]}"
0000000000000000005c_0,Fortune 500 HQ,"471. Post Holdings Inc, South Hanley Road, St. Louis, MO, USA",4.717377712455083E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.33009339463848,38.64103194640121]}"
0000000000000000005d_0,Fortune 500 HQ,"470. S and P Global, New York, NY, USA",1.0035571628393234E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9807552236632,40.77902232260568]}"
0000000000000000005e_0,Fortune 500 HQ,"469. Intercontinental Exchange, New Northside Drive, Atlanta, GA, USA",3.387357874443377E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.41917882513204,33.92487670477373]}"
0000000000000000005f_0,Fortune 500 HQ,"478. Ameren Corporation,  St. Louis, MO, USA",5.4413799194717365E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.20432925486175,38.64103194640121]}"
00000000000000000060_0,Fortune 500 HQ,"467. Franklin Templeton Investments, San Mateo, CA, USA",3.9108585779668945E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.27418489792866,37.572036758298985]}"
00000000000000000061_0,Fortune 500 HQ,"166. iHeartMedia San Antonio, San Antonio, TX, USA",3.2523850170244236E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-98.44188041023776,29.648895952364807]}"
00000000000000000062_0,Fortune 500 HQ,"465. NCR Global, Atlanta, GA, USA",4.057276822228654E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.41917882513204,33.799112564996996]}"
00000000000000000063_0,Fortune 500 HQ,"464. Beacon Roofing Supply Inc, Huntmar Park Drive, Herndon, VA, USA",3.329498024238125E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.37638699763498,38.95544229584305]}"
00000000000000000064_0,Fortune 500 HQ,"463. ABM Industries, New York, NY, USA",1.1137873414493033E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9807552236632,40.71614025271731]}"
00000000000000000065_0,Fortune 500 HQ,"336. Mutual of Omaha® Insurance Co., Dodge Street, Omaha, NE, USA",5.436600904057143E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.98947968459147,41.28207888171261]}"
00000000000000000066_0,Fortune 500 HQ,"462. M&T Bank Buffalo, NY, USA",2.7098321552933206E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-78.82267460506742,43.042776838586875]}"
00000000000000000067_0,Fortune 500 HQ,"461. HESS New York, NY, USA",1.1137873414493033E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9807552236632,40.71614025271731]}"
00000000000000000068_0,Fortune 500 HQ,"460. Advanced Micro Devices, Augustine Drive, Santa Clara, CA, USA",4.416408532822157E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.95977454848683,37.383390548633884]}"
00000000000000000069_0,Fortune 500 HQ,335. AGCO,3.113620646983103E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.16765054557857,33.9877587746621]}"
0000000000000000006a_0,Fortune 500 HQ,"459. Cintas Center, Herald Avenue, Cincinnati, OH, USA",4.7735474734616414E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.4820608950204,39.14408850550815]}"
0000000000000000006b_0,Fortune 500 HQ,"458. Dillard's, Little Rock AR, USA",2.999409869985406E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.34231963106622,34.7423436133225]}"
0000000000000000006c_0,Fortune 500 HQ,334. COTY,1.1137873414493033E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9807552236632,40.71614025271731]}"
0000000000000000006d_0,Fortune 500 HQ,"457. Ascena Retail Group Inc (ASNA),Mahwah, NJ, USA",3.66171452168494E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.16940143332829,41.09343267204751]}"
0000000000000000006e_0,Fortune 500 HQ,"333. Pioneer Natural Resources Company, North O'Connor Boulevard, Irving, TX, USA",5.349335236583694E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-96.93271073291696,32.855881516671495]}"
0000000000000000006f_0,Fortune 500 HQ,"456. Marathon Oil, Houston, TX, USA",4.044040016268735E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.48642312548454,29.77466009214154]}"
00000000000000000070_0,Fortune 500 HQ,332. First Data,1.1137873414493033E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9807552236632,40.71614025271731]}"
00000000000000000071_0,Fortune 500 HQ,"455. Seaboard Corporation Shawnee Mission, KS, USA",4.2303930137863254E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-94.66895621693577,39.01832436573142]}"
00000000000000000072_0,Fortune 500 HQ,331. Hertz Global Holdings,2.2673004702954448E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.77813188982064,26.441910388058115]}"
00000000000000000073_0,Fortune 500 HQ,"454. Chemours, Wilmington, DE, USA",4.634085701209006E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.55280697087235,39.772909204391816]}"
00000000000000000074_0,Fortune 500 HQ,"453. Northern Trust, Chicago, IL, USA",6.90932632450495E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.62616438943873,41.91089958059627]}"
00000000000000000075_0,Fortune 500 HQ,330. Calpine,4.62703000555975E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.3606589857078,29.77466009214154]}"
00000000000000000076_0,Fortune 500 HQ,"452. Rockwell Automation, Inc., Milwaukee, WI, USA",4.370542177808618E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.94057473888056,43.042776838586875]}"
